Index,gain_kr,gain_ks,gain_to,gain_na,gain_ca,APD90,APD60,APD40,APA,TRI60,TRI40,90PERCENT,90to90,PeakDist,EAD,Alternan,Pro-Arrhythmic
546,0.6025111413924501,0.39526999280233865,2.841896882239737,5.286372969899765,5.34417382210525,640.6404639337561,577.928192734078,182.32175901025767,146.0520957098048,-0.7632758547714041,-0.17002082069962376,-77.18103125389474,641.3911868786672,442.8760616768268,True,False,True
566,0.4143310153305268,1.4122769122115288,0.35234340514936024,1.3619003734263233,2.4324670618028224,601.6023022510344,550.832404813671,234.43930489226477,129.91049748895767,-0.9172538958086346,-0.31166051915286297,-78.19490939332732,602.9229957551579,385.8982964809402,True,False,True
632,0.3220841266388177,0.9112908972410189,0.4567364860929495,0.617192657722789,9.587597306119513,49.025578113272786,16.729963090794627,7.5525968335568905,69.74395278470973,-0.6899417974661952,-0.9106707245338148,-12.678361139135541,50.025578113272786,941.5096832426498,True,False,True
672,0.09199403992532555,1.3731304010878647,0.808429548634121,1.751938615213201,2.1302750047837984,,,,,,,,,,False,True,True
801,0.22725499459329562,0.6085206863102097,2.053690325682713,0.4038093454763241,2.618650601884455,,,,,,,,,,False,True,True
887,0.5523890381863837,1.9340066746396611,0.8614892138963269,0.6720898164378035,3.902574606899195,,,,,,,,,,False,True,True
899,0.4834352772847007,0.4242276036732308,0.7398090277936924,2.3985317698910995,3.6719495231021098,709.636062451289,651.9845991233597,210.74326998234028,138.33721650821707,-0.8347968269233907,-0.2659549361287547,-77.56806395770357,710.6403998315218,499.4146785004996,True,False,True
1003,0.8900181668782203,0.7547755120475748,3.0789052095319214,3.0797041650622994,0.5130008227230207,264.48859961505514,222.14812689536484,5.663580986263696,144.06428054237438,-1.1305891408267301,-0.39754491256995433,-76.10007223637082,265.3054437772953,54.15424182283459,True,False,True
1040,0.40729778119407584,0.5122046752680423,0.27495276353638437,1.2121102087215354,3.046313780506383,,,,,,,,,,False,True,True
1046,0.6516549046739502,0.8058980666920044,0.9435164850450145,0.4464394551061628,3.0376060217916367,522.0138871397357,478.5485069890274,203.01779323938536,125.25050212398045,-0.9525498848577576,-0.41611789003139876,-78.69267878779141,542.4126774316537,346.84009749878896,True,False,True
1349,0.4484320789807385,0.6430060547275535,0.37883723451610474,11.654709147368276,4.450467341971703,714.3333964650519,631.9526063462836,173.42356463288888,155.18915861712142,-0.662825675574886,-0.22782379635870784,-76.0981439070651,715.0328379774583,471.8158503913437,True,False,True
1394,0.19890750187453624,0.9067117626526344,0.8855397620389859,0.38810456026194234,4.936982234463536,,,,,,,,,,False,True,True
1480,0.6227802710823783,2.9298882672251065,3.6196830107656934,0.34746602781485353,3.1678267164442873,486.83674962242367,446.52605636476073,208.88602411025204,119.53735382235543,-0.9077455321003343,-0.30150723173658306,-79.36953380977496,519.6880983798765,341.17319682065863,True,False,True
1516,0.1551254350482137,2.0565963446594173,0.8888018626397957,1.9698050538243395,2.436015737537215,,,,,,,,,,False,True,True
1518,0.32253831205899114,0.5618326031388488,0.4511021289548366,1.1836252044566116,2.7457960639369063,,,,,,,,,,False,True,True
1620,0.28698445905179093,0.8065620401307452,1.0013953789051215,0.144601177625724,3.4083498774610903,,,,,,,,,,False,True,True
1629,1.0186349500045375,0.810731904387464,3.1508027155529135,1.8939976561730947,0.49767978630987414,246.93096213281387,211.91145666880766,154.1188052597572,135.914189334952,-1.2237874157881112,-0.9872425878360841,-76.89317668841767,247.88610703276936,58.16970665642293,True,False,True
1732,0.2247704624872489,1.8690262842922591,1.9880869207230492,1.3608165600986815,3.5849798367516983,,,,,,,,,,False,True,True
1867,0.2603611369671002,1.7839422610731432,1.5251525134293233,0.5619701755660134,2.0223504636599867,,,,,,,,,,False,True,True
1878,0.16911110631715462,0.32914205065590857,1.1327801296166264,4.945052055726158,2.35618151939158,,,,,,,,,,False,True,True
1892,0.20099930424580267,0.2565398371135099,0.43503108397632784,1.621733209649581,2.6977433218170206,,,,,,,,,,False,True,True
1902,0.9818408255996632,0.9745893594580851,0.9987776661768384,0.4162979270894265,5.844482424119628,479.9666971996194,433.1541463995818,192.72929761064006,130.59228036057883,-0.9095152397692714,-0.34847677851220815,-78.34007195394844,498.78786872467026,318.51706223079236,True,False,True
1948,0.3777237387707157,3.2527435027138307,1.129422996431929,1.007518610516261,3.702474622315943,,,,,,,,,,False,True,True
1979,0.1574153839947909,0.8259392162911388,0.48804281500851776,0.5339884370474718,2.687997046500075,,,,,,,,,,False,True,True
2036,1.2360351541712635,0.5417242208162636,1.7322582776155793,2.7222098883729515,6.715612321090069,501.67861434444785,452.67563391657313,193.92688350490062,137.70426907388565,-0.8727729787270857,-0.134948000136519,-77.83630476237293,502.67823271552334,307.2934944307781,True,False,True
2041,0.4594643425283507,0.9378725054804792,0.4567497310699603,0.4195454861140968,3.3331762936104194,710.6544065473136,661.7240826782654,229.58702691679355,128.3556273122901,-0.9456705453571803,-0.29118620703194265,-78.49074766781749,726.4658719659783,510.79987032397185,True,False,True
2066,0.23769484252442674,0.4874106414308518,0.8748598762866823,0.5618395160711466,2.7720842989508854,,,,,,,,,,False,True,True
2077,0.1338738716714486,0.9223282786380967,2.679325619007124,0.5353191685058095,2.58397060335535,,,,,,,,,,False,True,True
